t (s),Tilt up/down (deg),Tilt left/right (deg)
0.001441458473,11.72427126,0.3700429464
0.5017275834,11.87091798,0.3159661693
1.002014583,11.88336078,0.2748925823
1.502299958,11.94555286,0.3232538637
2.002586958,11.91367515,0.3973241353
2.502874,11.87192724,0.4524914104
3.00316,11.81321228,0.2896018191
3.503445084,11.89219503,0.2267417485
4.003731083,11.82458143,0.1866099884
4.504016083,11.8656811,0.3738821781
5.004301084,11.8197427,0.342216207
5.504584208,11.88643366,0.2900343251
6.004869208,11.80484145,0.2601430692
6.505153334,11.91609561,0.2267880473
7.005437333,11.77727592,0.2988722978
7.505721208,11.89464762,0.3340325188
8.006005208,11.91988823,0.3251375514
8.5062885,11.7164678,0.3913006389
9.0065715,11.86394884,0.2680547871
9.506853458,11.85358053,0.06679404766
10.00713746,11.96539157,0.3811912289
10.50741988,11.87078073,0.382602356
11.00770188,11.79564822,0.4087662853
11.50798396,12.01032059,0.5091941332
12.00826596,11.96420476,0.3537009364
12.50854621,11.96840017,0.1657478818
13.00882821,12.27329861,0.1483546503
13.50910908,11.57979014,-0.009993872387
14.50967213,11.92525439,0.146332904
15.00995213,12.24928389,-0.7488562125
15.51023108,12.38153109,-0.2778489475
16.01051208,12.19013509,0.1685536271
16.51079121,12.22063709,0.2799563441
17.01107121,12.16131778,0.2186471865
17.51135071,12.30804715,0.2319654513
18.01163171,12.40482512,0.2097681837
18.51190988,12.34530127,0.1867186885
19.01218888,12.16480289,0.1947295327
19.51246738,12.71913831,0.3054194627
20.01274638,12.50391232,0.1935049902
20.513025,11.87726417,0.1473965287
21.013303,12.28656674,0.2417376857
21.51358088,12.5045958,0.2574507479
22.01385988,12.3102539,0.3625125286
22.51413658,12.21280675,0.3308991486
23.01441458,12.3478925,0.2762961568
23.51469188,12.29753811,0.3108484037
24.01496988,12.36984636,0.1920551953
24.51524683,12.2654487,0.2953504209
25.01552383,12.38190923,0.2656106526
25.51579946,12.35375261,0.2688948602
26.01607746,12.32873679,0.2337636132
26.51635446,12.34557742,0.3088301916
27.5169065,12.38949904,0.2971333933
27.5169065,12.3894990387669,0.297133393303072
